Site ID,Type,Latitude,Longitude,"Location 
name SA"
AS01,Ground,18.5392,42.9038,جبال الكهف
AS02,Ground,19.9772,42.5984,بيشة
AS03,Ground,19.5107,43.5293,تثليث
AS04,Ground,18.0124,41.6823,القحمة
AS05,Ground,19.9815,44.0605,نزوى
AS06,Ground,19.4391,42.8187,جبل تباشعة
AS07,Ground,19.1328,41.9255,المجـاردة
AS89,Roof,17.8371,43.4135,الحجلان
AS90,Roof,18.054,43.06,العسران
AS91,Roof,18.3924,43.6446,جبل مريخة
AS92,Roof,18.6784,42.064,أم حشان
AS94,Roof,18.8948,43.2893,الحفاير
AS96,Roof,18.8295,42.5936,تباشعة
AS97,Roof,18.1377,42.324,شصعة
AS98,Roof,19.6891,42.0195,العضة
AS99,Roof,19.5485,42.2754,القوباء
BH01,Ground,20.0992,41.5853,المزرع
BH98,Roof,19.8309,41.2824,القهب
BH99,Roof,20.294,41.0434,خيران
ES01,Ground,26.8331,49.9692,غزلان
ES02,Ground,27.3135,49.3082,حزم النقورية
ES03,Ground,28.4308,48.4663,الخفجي
ES04,Ground,25.2765,50.5227,أم حويض
ES05,Ground,24.5713,51.4409, العــديد
ES06,Ground,28.9895,47.1623,المسنَّاة
ES07,Ground,28.4311,45.963,حفر الباطن
ES08,Ground,27.5118,47.6818,قرية العليا
ES09,Ground,24.8934,49.4963,الحويذية
ES10,Ground,23.2988,48.9642,يبرين 
ES11,Ground,22.9068,50.186,قوز ابن مهيرة
ES12,Ground,22.5116,53.9284,الشيبة
ES13,Ground,20.0673,54.9636,السحمة
ES14,Ground,23.2482,52.1238,خيوط الشبوك
ES15,Ground,24.7394,50.7567,سلوى
ES16,Ground,27.8093,48.7192,الشرار
ES17,Ground,28.1155,46.7105,الصداوي
ES18,Ground,27.8414,45.9779,أم قليب
ES19,Ground,27.4639,48.5081,النعيرية
ES20,Ground,27.8617,44.8933,سامودة
ES21,Ground,24.9665,48.7504,الحني
ES22,Ground,24.1304,49.0371,حرض
ES23,Ground,22.009,48.4609,أبو بحر
ES91,Roof,25.8861,50.1075,رأس قرية
ES92,Roof,26.0705,49.2954,الحبل
ES93,Roof,26.182,50.1813,العزيزية
ES94,Roof,27.5443,49.2063,رأس الغار
ES95,Roof,28.1062,47.8741,أبرق الكبريت
ES96,Rooftop,25.3558,49.5658,الهفوف
ES97,Rooftop,25.8489,48.8339,جودة
ES98,Rooftop,26.876,48.7254,ثـــاج
ES99,Rooftop,26.2653,49.5308,الرافعية
HL01,Ground,27.3707,41.1795,موقق
HL02,Ground,28.2409,42.903,تربة
HL03,Ground,27.0695,43.0129,الكهفة
HL04,Ground,25.9968,40.818,الحليفة السفلى
HL05,Ground,26.8745,41.4924,المعترضة
HL06,Ground,27.6073,43.171,الخوير
HL94,Roof,25.5957,40.6056,صفيط
HL95,Roof,26.5749,42.2343,عُقيلة اللبن
HL96,Roof,27.0292,42.1817,طابة
HL97,Roof,27.4327,42.4779,الرشاوية
HL98,Roof,26.1361,41.3791,قاع حجلا
HL99,Roof,26.6002,40.9612,بدع ابن حويِّط
JW01,Ground,29.7771,40.0197,سكاكا
JW02,Ground,29.2506,41.4432, عذفاء
JW03,Ground,29.7778,38.4268,البسيطاء
JW04,Ground,31.4255,37.0957,الحديثة
JW05,Ground,29.9153,39.2889,قرميز
JZ01,Ground,16.869,42.5696,جــازان
JZ02,Ground,16.829,41.8211,فرسان
JZ03,Ground,17.6403,42.2269,الدرب 
JZ04,Ground,17.4915,42.6795,الحبيل
JZ98,Roof,17.137,43.0995,ساهر القوبع
MD02,Ground,24.3507,37.6064,النباة
MD03,Ground,25.6466,39.3013,خيبر
MD04,Ground,23.4895,40.8928,مهد الذهب
MD05,Ground,26.2295,37.9472,رويع النيص
MD06,Ground,26.0742,38.8872,جبال الخشباء
MD07,Ground,25.0169,40.3574,ذارة
MD08,Ground,25.1598,38.4457,ترعة
MD09,Ground,23.589,38.6, الرايس
MD10,Ground,23.8573,39.7191,جبل المركوزة
MD11,Ground,24.3012,40.524,دحلة الفاطر
MD12,Ground,22.8961,40.8232,ضلعان الستيِّر
MD15,Ground,24.4806,39.7155,المدينة 
MD89,Roof,25.0317,41.2202,الهميج
MD90,Roof,22.6651,40.3142,الغاشية
MD92,Roof,23.0845,40.3014,رويضة صبير
MD93,Roof,23.5035,40.3145,الصعبية
MD94,Roof,23.931,39.1034,البرك
MD95,Roof,24.0854,38.0899,ينبع البحر
MD96,Roof,24.7855,38.3407,الكلبة
MD97,Roof,25.5961,38.5559,السليلة
MD98,Roof,25.6364,37.8691,المرامية
MD99,Rooftop,23.217,39.5453,أبو ضباع
MK01,Ground,20.9886,39.2746,طفية
MK02,Ground,22.7611,39.0955,رابغ
MK03,Ground,19.1679,41.0803,القنفذة
MK04,Ground,20.7071,40.5341,سوق بني يزيد
MK05,Ground,21.8307,40.4403,القفيف 
MK06,Ground,21.9067,42.0274,الخرمة
MK07,Ground,23.4121,42.35,ظلم
MK08,Ground,22.9358,41.6678,البحرة
MK09,Ground,22.7357,42.1751,برقان ظلم
MK10,Ground,22.5196,41.9021,المويه الجديد
MK75,Roof,21.0369,42.4671,العويلة
MK76,Roof,20.7734,41.6952,القوامة
MK77,Roof,20.9294,41.2028,أبو راكة
MK78,Roof,21.0823,41.5597,الحشرج
MK80,Roof,22.6278,41.3514,مشرف
MK81,Roof,22.5018,40.7675,فيضة المسلح
MK82,Roof,21.8785,41.017,ركبة
MK83,Roof,18.7049,41.3819,الخضراء
MK84,Roof,19.8086,40.7289,سلم الزواهر
MK85,Rooftop,20.1325,40.2653,الليث
MK86,Rooftop,20.8383,40.139,يلملم ( لملم )
MK87,Rooftop,20.4477,39.7213,المجيرمة
MK88,Rooftop,21.1085,39.9154,البيضاء
MK89,Rooftop,21.3533,40.8343,سديرة
MK90,Rooftop,21.2823,40.3977,الطائف
MK91,Rooftop,21.5628,39.9563,جعرانة
MK92,Rooftop,22.0841,40.0218,المجمعة
MK93,Rooftop,21.9713,39.3715,خليص 
MK94,Rooftop,22.579,39.6294,ستارة
MK95,Rooftop,23.1176,38.842,مستورة
MK96,Rooftop,22.2805,39.1135,ثول 
MK97,Rooftop,21.5561,39.2429,السلام
MK98,Rooftop,21.4513,39.5401,بحرة
MK99,Rooftop,21.762,39.1282,أبحر الجنوبية
NB01,Ground,31.0251,40.9099,عرعر 
NB02,Ground,29.6429,43.5554,رفحا
NB03,Ground,32.1384,39.1982,طرف
NB04,Ground,28.4449,44.332,الحدقة
NB05,Ground,28.7866,43.7255,فيضة عوافي
NJ01,Ground,17.5187,44.1942,نجران
NJ02,Ground,18.5335,44.205,يدمة
NJ03,Ground,18.967,45.1035,الخالدة
NJ04,Ground,17.4745,47.0874,شرورة
NJ05,Ground,18.8979,51.1019, الخرخير
NJ07,Ground,18.136,44.1271,العضبات
QS01,Ground,26.3974,43.9404,بريدة
QS02,Ground,25.1079,42.6454,العاقر
QS03,Ground,26.4491,42.8074,الثابتية
QS04,Ground,26.992,44.0945,السيق
QS05,Ground,25.4057,42.0897,البديعة
QS06,Ground,25.9484,42.1176,الطرفاوي
QS07,Ground,25.6098,43.9478,النعايم
QS95,Roof,25.8312,44.5891,أم حزم
QS96,Roof,25.5609,43.3547,الخشيبي
QS97,Roof,26.0334,43.2906,الدليمية
QS98,Roof,25.5567,41.4292,النقرة
QS99,Roof,26.9089,43.3595,الحديدية
RY01,Ground,24.9173,46.363,العيــــينة
RY02,Ground,25.3256,46.1658,دقلـــة
RY03,Ground,24.2066,48.0589,التوضيحية
RY04,Ground,26.1319,46.1491,أم رجوم
RY05,Ground,23.5755,45.6155,العــفج
RY06,Ground,26.8836,45.3187,أم الجماجم
RY07,Ground,23.4039,43.9196,الخاصرة
RY08,Ground,22.0273,46.563,البديع
RY09,Ground,20.4237,44.89,وادي الدواسر
RY10,Ground,25.1561,46.6488,وادي بنبان
RY11,Ground,23.5562,47.0941,حرجـة العاقـولة
RY12,Ground,23.9122,46.8451,مـــــاوان
RY13,Ground,24.1876,47.5172,الريحـــان
RY15,Ground,24.5572,43.2337,حديجة
RY16,Ground,20.5324,47.6026,ريدا
RY17,Ground,19.5015,45.0997,الزهر
RY18,Ground,26.3678,47.2334,شوية
RY20,Ground,21.5839,44.0935,أبا الأكوان
RY21,Ground,22.7596,44.4541,بحيران
RY22,Ground,24.3121,43.5175,القاعية
RY70,Roof,24.2643,44.1838,الشعراء
RY71,Roof,25.1123,44.6765,عسيلة
RY72,Roof,24.7208,44.2864,عرجاء
RY73,Roof,24.6729,43.6843,فيضة الجمش
RY74,Roof,25.1413,43.4793,أبو جلال
RY75,Roof,26.2477,44.8216,الروضة
RY76,Roof,26.7994,44.6274,البعيثة
RY77,Rooftop,23.2153,46.4906,بيضان
RY82,Rooftop,24.3039,47.1725,الرفــــاع
RY83,Rooftop,24.4013,46.8351,الحـــائر
RY84,Rooftop,24.0232,46.2939,شعيب أم سرحة
RY85,Rooftop,23.7603,44.7592,الرويضة
RY86,Rooftop,24.0608,45.2738,القويعية
RY87,Rooftop,24.3444,45.8117,الرفيعة
RY88,Rooftop,24.4635,46.2794,المزاحــمية
RY89,Rooftop,24.6136,45.2548,حــويتة
RY90,Rooftop,24.9211,45.8634,البــــرة
RY91,Rooftop,25.2371,45.2397,شـــقراء
RY92,Rooftop,25.8618,45.418,جوي
RY93,Rooftop,25.6886,46.5521,الحـــفنة
RY94,Rooftop,25.5954,45.7944,عشَـــيرة
RY95,Rooftop,25.5707,47.1558,رمــــاح
RY96,Rooftop,25.103,47.5557,قرية سِعد 
RY97,Rooftop,24.9294,46.9967,النظيم
RY99,Rooftop,24.6741,46.6942,العـــليَّا
TB01,Ground,28.381,36.4769,تبوك
TB02,Ground,29.2287,34.9172,الحميضة
TB03,Ground,28.4046,34.7401,مقنا
TB04,Ground,27.5659,35.5417, جبة
TB05,Ground,26.3669,36.3686,شرم حرامل
TB06,Ground,27.6108,38.5441,تيماء
TB07,Ground,28.9691,38.5611,الهوجاء
TB08,Ground,28.4973,37.631,القليِّـبة
TB09,Ground,28.2705,38.9815,العسافية
TB97,Roof,25.3733,37.1904,النعيلة
TB98,Roof,24.905,37.7704,سمر
TB99,Roof,24.7623,37.2339,الشبعان
